date,bank_holiday,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,school_holiday,feature_8,feature_9,feature_10,label
2005-04-13,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0,0,793
2005-04-14,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0,0,585
2005-04-15,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0,0,1015
2005-04-16,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0,0,1658
2005-04-17,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0,0,2033
2005-04-18,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0,0,847
2005-04-19,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0,0,692
2005-04-20,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0,0,736
2005-04-21,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0,0,657
2005-04-22,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0,0,888
2005-04-23,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0,0,1216
2005-04-24,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0,0,1230
2005-04-25,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0,0,763
2005-04-26,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0,0,612
2005-04-27,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0,0,771
2005-04-28,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0,0,681
2005-04-29,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0,0,903
2005-04-30,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0,0,937
2005-05-01,3,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0,0,1085
